,PLAT,NET,NAME,REPTYPE,LAT,LON,CLIMATE SUMMARY,AVAILABILITY,STATION OPS,OP MODE,TYPE,MOVING
70,DNAK,ICAO,AKURE,METAR,7.25,5.3,UNAVAILABLE,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
71,BIAR,ICAO,AKUREYRI,METAR,65.659994,-18.072703,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
72,PAUT,ICAO,AKUTAN,METAR,54.15,-165.6,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
73,OEAH,ICAO,AL AHSA,METAR,25.285306,49.485189,JMCLIM,DATA LIMITED,FULL TIME,UNKNOWN,SFC_OBS,1
74,OMAL,ICAO,AL AIN INTL,METAR,24.261667000000003,55.60916700000001,JMCLIM,DATA LIMITED,FULL TIME,UNKNOWN,SFC_OBS,1
75,ORAA,ICAO,AL ASAD AB,METAR,33.785608,42.4412,UNAVAILABLE,NEW SITE,PART TIME,UNKNOWN,SFC_OBS,1
76,OEBA,ICAO,AL BAHA,METAR,20.296139,41.634277,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
77,OMAM,ICAO,AL DHAFRA,METAR,24.248249,54.547722,UNAVAILABLE,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
78,OMAH,ICAO,AL HAMRA AUX,METAR,24.073981,52.463644,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
79,OESK,ICAO,AL JOUF,METAR,29.785133,40.100006,JMCLIM,DATA LIMITED,FULL TIME,UNKNOWN,SFC_OBS,1
80,OEKJ,ICAO,AL KHARJ,METAR,24.06072,47.41081,JMCLIM,DATA LIMITED,FULL TIME,UNKNOWN,SFC_OBS,1
81,OMDW,ICAO,AL MAKTOUM INTL AIRPORT,METAR,24.88611,55.17222,UNAVAILABLE,DATA LIMITED,FULL TIME,UNKNOWN,SFC_OBS,1
82,GMAD,ICAO,AL MASSIRA,METAR,30.324997,-9.413067,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
83,ORSH,ICAO,AL SAHRA AAF,METAR,34.673231,43.542994,LIMCLIM,NEW SITE,PART TIME,UNKNOWN,SFC_OBS,1
84,OTBH,ICAO,AL UDEID AB,METAR,25.117317,51.314989,JMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUGMENTED,SFC_OBS,1
85,KHHV,ICAO,ALAMINOS CANYON 25 OIL PLATFORM,METAR,26.939,-94.689,UNAVAILABLE,DATA LIMITED,FULL TIME,PRIMARY AUTO,SFC_OBS,1
86,KALM,ICAO,ALAMOGORDO WHITE SANDS RGNL,METAR,32.839944,-105.990583,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
87,LEAB,ICAO,ALBACETE,METAR,38.948528,-1.863517,JMCLIM,DATA LIMITED,FULL TIME,UNKNOWN,SFC_OBS,1
88,SBLB,ICAO,ALBACORA P25 OIL PLATFORM,METAR,-22.1,-39.9166666,UNAVAILABLE,DATA INCOMPLETE,PART TIME,UNKNOWN,SFC_OBS,1
